e_id,task_id,user_id,evaluation_date,late,score,winner
1,16,9,2020-01-09,0,29,0
2,1,18,2020-01-09,0,32,0
3,16,6,2020-01-09,0,28,0
4,16,10,2020-01-09,0,32,0
5,1,5,2020-01-09,0,33,1
6,16,20,2020-01-09,0,29,0
7,16,16,2020-01-09,0,34,1
8,16,17,2020-01-09,0,35,1
9,16,14,2020-01-10,0,31,0
10,1,21,2020-01-10,0,31,0
11,16,12,2020-01-10,0,34,1
12,17,6,2020-01-10,0,10,0
13,17,16,2020-01-10,0,12,0
14,17,12,2020-01-10,0,12,0
16,18,8,2020-01-16,0,10,1
17,18,9,2020-01-16,0,10,1
18,18,18,2020-01-16,0,10,0
19,18,6,2020-01-16,0,10,1
20,18,1,2020-01-16,0,10,1
21,18,15,2020-01-16,0,10,1
22,18,13,2020-01-16,0,9,0
23,18,5,2020-01-16,0,10,1
24,18,16,2020-01-16,0,10,1
25,18,17,2020-01-16,0,10,1
26,18,14,2020-01-16,0,9,0
27,18,21,2020-01-16,0,10,1
28,18,12,2020-01-16,0,10,1
29,16,15,2020-01-16,1,38,1
30,16,2,2020-01-16,0,32,0
31,18,56,2020-01-18,1,29,1
32,17,56,2020-01-18,0,10,0
33,19,11,2020-01-21,0,25,1
34,19,5,2020-01-21,0,10,0
35,19,21,2020-01-21,0,10,0
36,19,6,2020-01-21,0,15,0
37,19,15,2020-01-21,0,15,0
38,19,18,2020-01-21,0,10,0
39,19,9,2020-01-21,0,15,0
40,19,14,2020-01-21,0,5,0
41,19,10,2020-01-21,0,15,0
42,19,16,2020-01-21,0,20,0
43,19,12,2020-01-21,0,15,0
44,19,17,2020-01-21,0,25,0
45,20,6,2020-01-22,0,9,0
46,20,18,2020-01-22,0,8,0
47,1,16,2020-01-22,0,9.5,0
48,20,15,2020-01-22,0,10,1
49,1,12,2020-01-22,0,9,0
50,20,5,2020-01-22,0,10,1
51,1,78,2020-01-24,0,10,1
52,1,99,2020-01-24,0,5.5,0
53,1,87,2020-01-24,0,7,0
54,1,86,2020-01-24,0,5,0
55,1,82,2020-01-24,0,7.5,0
56,1,73,2020-01-24,0,7,0
57,1,105,2020-01-24,0,6,0
58,1,84,2020-01-24,0,6.5,0
59,1,102,2020-01-24,0,7,0
60,1,98,2020-01-24,0,5,0
61,1,104,2020-01-24,0,6,0
62,1,80,2020-01-24,0,8.5,0
63,1,94,2020-01-24,0,5,0
64,1,95,2020-01-24,0,5,0
65,1,77,2020-01-24,0,8.5,0
66,1,90,2020-01-24,0,6,0
67,1,76,2020-01-24,0,8,0
68,1,75,2020-01-24,0,8,0
69,1,96,2020-01-24,0,8,0
70,1,67,2020-01-24,0,6,0
71,4,29,2020-01-24,0,15.5,0
72,4,32,2020-01-24,0,13,0
73,4,33,2020-01-24,0,15,0
74,4,35,2020-01-24,0,17,0
75,4,36,2020-01-24,0,15,0
76,4,38,2020-01-24,0,19,1
77,4,39,2020-01-24,0,16.5,0
78,4,40,2020-01-24,0,15,0
79,4,43,2020-01-24,0,16.5,0
80,4,44,2020-01-24,0,15.5,0
81,4,45,2020-01-24,0,15,0
82,4,47,2020-01-24,0,15,0
83,4,48,2020-01-24,0,16,0
84,4,50,2020-01-24,0,19,0
85,4,52,2020-01-24,0,15,0
86,4,53,2020-01-24,0,14,0
87,1,83,2020-01-24,0,7,0
88,1,68,2020-01-24,0,8,0
89,1,79,2020-01-24,0,7.5,0
90,1,69,2020-01-24,0,6.5,0
91,1,103,2020-01-24,0,6,0
92,1,89,2020-01-24,0,9,0
93,1,70,2020-01-24,0,6,0
94,1,101,2020-01-24,0,9,0
95,1,85,2020-01-24,0,7.5,0
96,1,88,2020-01-24,0,8.5,0
97,1,81,2020-01-24,0,8.5,0
98,1,71,2020-01-24,0,6.5,0
99,1,93,2020-01-24,0,8,0
100,1,72,2020-01-24,0,8,0
101,1,74,2020-01-24,0,5,0
102,21,12,2020-01-27,0,7.5,0
103,21,21,2020-01-27,0,7,0
104,21,11,2020-01-27,0,7,0
105,21,2,2020-01-27,0,6,0
106,21,14,2020-01-27,0,7,0
107,21,8,2020-01-27,0,8.5,0
108,21,17,2020-01-27,0,9,0
109,21,5,2020-01-27,0,7,0
110,21,15,2020-01-27,0,8.5,0
111,21,19,2020-01-27,0,8,0
112,21,6,2020-01-27,0,8,0
113,21,18,2020-01-27,0,9,1
114,19,8,2020-01-28,0,5,0
115,21,9,2020-01-28,0,8,0
116,21,10,2020-01-28,0,8,0
117,21,1,2020-01-29,1,8.5,0
118,21,20,2020-01-29,1,9,1
119,21,16,2020-01-29,1,7.5,0
120,21,13,2020-01-29,0,8,0
121,3,78,2020-01-29,0,21,0
122,3,87,2020-01-29,0,21.5,0
123,3,86,2020-01-29,0,19,0
124,3,82,2020-01-29,0,23,0
125,3,73,2020-01-29,0,17,0
126,3,105,2020-01-29,0,22,0
127,3,84,2020-01-29,0,24,1
128,3,102,2020-01-29,0,23,0
129,3,104,2020-01-29,0,23.5,0
130,3,80,2020-01-29,0,18,0
131,3,94,2020-01-29,0,16,0
132,3,95,2020-01-29,0,17,0
133,3,103,2020-01-29,0,18.5,0
134,3,77,2020-01-29,0,24.5,1
135,3,90,2020-01-29,0,21.5,0
136,3,76,2020-01-29,0,24,1
137,3,75,2020-01-29,0,24.5,1
138,3,70,2020-01-29,0,21,0
139,3,83,2020-01-29,0,19,0
140,3,101,2020-01-29,0,20,0
141,3,85,2020-01-29,0,20,0
142,3,88,2020-01-29,0,20,0
143,3,81,2020-01-29,0,20.5,0
144,3,96,2020-01-29,0,24,1
145,3,79,2020-01-29,0,19,0
146,3,67,2020-01-29,0,23,0
147,3,69,2020-01-29,0,20,0
148,3,68,2020-01-29,0,19,0
149,3,74,2020-01-29,0,19,0
150,3,93,2020-01-29,0,18,0
151,3,72,2020-01-29,0,18.5,0
152,3,89,2020-01-29,0,18,0
153,22,9,2020-01-31,0,10,0
154,22,6,2020-01-31,0,10,0
155,22,19,2020-01-31,0,10,0
156,22,15,2020-01-31,0,10,0
157,22,5,2020-01-31,0,10,0
158,22,17,2020-01-31,0,10,0
159,22,14,2020-01-31,1,10,0
160,20,36,2020-01-31,1,9.5,0
161,20,52,2020-01-31,1,10,1
162,23,33,2020-01-31,0,17,1
163,20,53,2020-01-31,1,10,1
164,23,35,2020-01-31,0,17.5,1
165,20,50,2020-01-31,0,9.5,0
166,20,47,2020-01-31,1,9.5,0
167,20,40,2020-01-31,0,9.5,0
168,20,38,2020-01-31,0,9.5,0
169,23,36,2020-01-31,0,15.5,0
170,23,38,2020-01-31,0,16.5,0
171,23,39,2020-01-31,0,14.5,0
172,23,47,2020-01-31,0,14.5,0
173,23,48,2020-01-31,0,15.5,0
174,23,43,2020-01-31,0,17,0
175,22,11,2020-01-31,1,10,0
176,22,16,2020-01-31,1,10,1
177,23,40,2020-02-01,0,15.5,0
178,23,53,2020-02-01,0,16,0
179,22,1,2020-02-02,1,10,0
180,22,10,2020-02-02,1,10,1
181,22,21,2020-02-02,1,10,1
182,22,12,2020-02-02,1,10,1
183,24,9,2020-02-02,0,10,0
184,24,15,2020-02-02,0,10,1
185,24,5,2020-02-02,0,10,0
186,24,16,2020-02-02,0,10,0
187,4,87,2020-02-02,0,16.5,0
188,4,78,2020-02-02,0,17.5,1
189,4,86,2020-02-02,0,15,0
190,4,82,2020-02-02,0,16,0
191,4,73,2020-02-02,0,15.5,0
192,22,18,2020-02-04,1,10,0
193,22,13,2020-02-04,1,10,0
194,24,18,2020-02-04,1,10,0
195,24,1,2020-02-04,1,10,0
196,24,6,2020-02-04,1,9,0
197,24,13,2020-02-04,1,10,0
198,24,12,2020-02-04,1,9,0
199,20,9,2020-02-05,1,10,0
200,20,21,2020-02-05,1,10,0
201,17,66,2020-02-05,0,18,1
202,17,14,2020-02-05,0,17,1
203,24,17,2020-02-05,1,10,0
204,24,21,2020-02-05,1,9,0
205,24,14,2020-02-05,1,9,0
206,22,8,2020-02-07,0,10,0
207,22,2,2020-02-07,1,10,0
208,4,105,2020-02-07,0,17,0
209,5,105,2020-02-07,0,17.5,0
210,6,105,2020-02-07,0,16,0
211,4,84,2020-02-07,1,17,0
212,5,84,2020-02-07,0,19,1
213,6,84,2020-02-07,1,16,0
214,4,102,2020-02-07,0,16.5,0
215,6,102,2020-02-07,0,15.5,0
216,4,104,2020-02-07,0,18.5,1
217,5,104,2020-02-07,0,20,1
218,6,104,2020-02-07,0,16,0
219,4,80,2020-02-07,0,16.5,0
220,5,102,2020-02-07,0,18,0
221,4,94,2020-02-07,0,16,0
222,5,94,2020-02-07,0,15,0
223,6,94,2020-02-07,0,14,0
224,4,95,2020-02-07,0,16,0
225,5,95,2020-02-07,0,16,0
226,4,103,2020-02-07,0,17,0
227,5,103,2020-02-07,0,16.5,0
228,4,77,2020-02-07,0,17.5,0
229,5,77,2020-02-07,0,19,1
230,4,89,2020-02-07,0,18.5,1
231,5,89,2020-02-07,0,16,0
232,6,89,2020-02-07,0,17,0
233,4,90,2020-02-07,0,18.5,1
234,6,95,2020-02-07,0,16,0
235,5,90,2020-02-07,0,19,1
236,6,90,2020-02-07,0,18,0
237,4,76,2020-02-07,0,20,1
238,6,76,2020-02-07,0,18.5,0
239,5,76,2020-02-07,0,17.5,0
240,4,75,2020-02-07,0,19,0
241,5,75,2020-02-07,0,20,1
242,6,75,2020-02-07,0,19,1
243,4,70,2020-02-07,0,16,0
244,4,83,2020-02-07,0,18,0
245,4,101,2020-02-07,0,16.5,0
246,4,85,2020-02-07,0,16.5,0
247,4,88,2020-02-07,0,17.5,0
248,4,81,2020-02-07,0,17.5,0
249,4,71,2020-02-07,0,15.5,0
250,4,96,2020-02-07,0,19,1
251,4,79,2020-02-07,0,17,0
252,4,72,2020-02-07,0,17,0
253,4,69,2020-02-07,0,17.5,0
254,4,67,2020-02-07,0,17,0
255,4,68,2020-02-07,0,18,0
256,4,74,2020-02-07,0,18.5,0
257,4,93,2020-02-07,0,19,1
258,5,87,2020-02-07,0,18,0
259,5,78,2020-02-07,0,18,0
260,5,86,2020-02-07,0,16,0
261,5,82,2020-02-07,0,18.5,1
262,5,83,2020-02-07,0,19.5,1
263,5,101,2020-02-07,0,19,0
264,5,85,2020-02-07,0,19,0
265,5,88,2020-02-07,0,18,0
266,5,81,2020-02-07,0,18,0
267,5,96,2020-02-07,0,19,1
268,5,72,2020-02-07,0,17.5,0
269,5,69,2020-02-07,0,16,0
270,5,67,2020-02-07,0,16,0
271,5,68,2020-02-07,0,19,1
272,5,93,2020-02-07,0,19,1
273,6,87,2020-02-07,0,18.5,0
274,6,78,2020-02-07,0,18.5,0
275,6,86,2020-02-07,0,16.5,0
276,6,82,2020-02-07,0,17.5,0
277,6,70,2020-02-07,0,16.5,0
278,6,83,2020-02-07,0,18,0
279,6,101,2020-02-07,0,17,0
280,6,85,2020-02-07,0,17.5,0
281,6,88,2020-02-07,0,17,0
282,6,81,2020-02-07,0,16.5,0
283,6,71,2020-02-07,0,17.5,0
284,6,96,2020-02-07,0,18,0
285,6,72,2020-02-07,0,18,0
286,6,69,2020-02-07,0,17.5,0
287,6,68,2020-02-07,0,18.5,0
288,6,74,2020-02-07,0,17,0
289,6,93,2020-02-07,0,17.5,0
290,25,15,2020-02-09,0,15,1
291,25,6,2020-02-09,0,15,0
292,25,16,2020-02-09,0,15,0
293,25,12,2020-02-09,0,15,0
294,25,21,2020-02-09,0,15,0
295,25,5,2020-02-10,0,15,0
296,26,87,2020-02-12,0,9,0
297,26,78,2020-02-12,0,10,1
298,26,105,2020-02-12,0,8,0
299,26,84,2020-02-12,0,8.5,0
300,26,102,2020-02-12,0,9,0
301,26,104,2020-02-12,0,9,0
302,26,80,2020-02-12,0,9,0
303,26,77,2020-02-12,0,9,0
304,26,89,2020-02-12,1,8.5,0
305,26,90,2020-02-12,0,10,1
306,26,76,2020-02-12,0,9,0
307,26,75,2020-02-12,0,9,0
308,26,83,2020-02-12,0,8.5,0
309,26,101,2020-02-12,0,8.5,0
310,26,85,2020-02-12,0,9,0
311,26,88,2020-02-12,0,8.5,0
312,26,81,2020-02-12,0,8,0
313,26,96,2020-02-12,0,9,0
314,26,79,2020-02-12,0,9,0
315,26,72,2020-02-12,0,8.5,0
316,26,69,2020-02-12,1,8.5,0
317,26,67,2020-02-12,0,9,0
318,26,68,2020-02-12,0,9,0
319,26,74,2020-02-12,0,9.5,0
320,26,93,2020-02-12,0,9,0
322,27,87,2020-02-13,0,9,0
323,27,78,2020-02-13,0,8,0
324,27,82,2020-02-13,0,10,1
325,27,84,2020-02-13,0,10,1
326,27,80,2020-02-13,0,10,1
327,27,94,2020-02-13,0,6,0
328,27,95,2020-02-13,0,8,0
329,27,103,2020-02-13,0,5,0
330,27,77,2020-02-13,0,10,1
331,27,89,2020-02-13,0,9,0
332,27,90,2020-02-13,0,10,1
333,27,76,2020-02-13,0,10,1
334,27,75,2020-02-13,0,10,1
335,27,70,2020-02-13,0,10,1
336,27,83,2020-02-13,0,10,1
337,27,101,2020-02-13,0,9,0
338,27,88,2020-02-13,0,9,0
339,27,81,2020-02-13,0,9,0
340,27,96,2020-02-13,0,7,0
341,27,79,2020-02-13,1,8,0
342,27,72,2020-02-13,1,10,1
343,27,69,2020-02-13,0,10,1
344,27,67,2020-02-13,0,9,0
345,27,68,2020-02-13,0,10,1
346,27,74,2020-02-13,0,8.5,0
347,27,93,2020-02-13,0,10,1
348,28,24,2020-02-13,0,8,0
349,28,33,2020-02-13,0,8,0
350,28,35,2020-02-13,0,10,1
351,28,39,2020-02-13,0,10,1
