gyan_id,user_id,submission_date,link,category
1,5,2019-08-09,https://www.linkedin.com/posts/bharat-patidar-ab61367b_computervision-facerecognition-artificialintelligence-ugcPost-6552981521475698688-bReQ/,General
2,13,2019-08-09,https://deepmind.com/blog/article/using-machine-learning-to-accelerate-ecological-research,General
3,16,2019-08-09,https://towardsdatascience.com/how-to-meaningfully-play-with-data-f5183fe82539,"Data Science"
4,15,2019-08-09,https://ai.googleblog.com/2019/08/video-understanding-using-temporal.html?m=1,"Artificial Intelligence"
5,14,2019-08-09,https://www.indiatoday.in/education-today/featurephilia/story/artificial-intelligence-is-changing-the-teaching-learning-process-in-education-1579224-2019-08-09,General
6,5,2019-08-09,https://medium.com/s/story/essential-math-for-data-science-why-and-how-e88271367fbd,Mathematics
7,2,2019-08-09,https://towardsdatascience.com/sentiment-analysis-is-difficult-but-ai-may-have-an-answer-a8c447110357,"Artificial Intelligence"
8,7,2019-08-09,https://medium.com/cracking-the-data-science-interview/7-machine-learning-applications-at-google-843d49d77bc8,General
9,18,2019-08-09,https://towardsdatascience.com/introduction-to-decision-intelligence-5d147ddab767,General
10,12,2019-08-10,https://towardsdatascience.com/data-science-project-flow-for-startups-282a93d4508d,Resource
11,21,2019-08-10,https://towardsdatascience.com/data-science-you-need-to-know-linear-regression-2b6d966bc4a8,"Machine Learning"
12,14,2019-08-10,https://www.analyticsindiamag.com/5-reasons-why-a-data-scientist-should-consider-changing-his-job/,Career
13,18,2019-08-10,https://towardsdatascience.com/top-ai-and-machine-learning-trends-in-media-and-entertainment-823f7efea928,General
14,13,2019-08-11,https://humanparts.medium.com/why-i-deleted-all-my-social-media-accounts-8847726863,General
15,3,2019-08-11,https://towardsdatascience.com/machine-learning-for-beginners-an-introduction-to-neural-networks-d49f22d238f9,"Deep Learning"
16,21,2019-08-11,https://towardsdatascience.com/probability-learning-i-bayes-theorem-708a4c02909a,Mathematics
17,18,2019-08-11,https://towardsdatascience.com/color-identification-in-images-machine-learning-application-b26e770c4c71,"Machine Learning"
18,2,2019-08-11,https://startupsventurecapital.com/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5,Resource
19,14,2019-08-11,https://www.analyticsindiamag.com/8-ways-to-spot-a-fake-data-scientist/,Career
20,16,2019-08-12,https://towardsdatascience.com/sql-in-python-for-beginners-b9a4f9293ecf,Python
21,6,2019-08-12,https://towardsdatascience.com/the-influence-of-data-scaling-on-machine-learning-algorithms-fbee9181d497,"Machine Learning"
22,18,2019-08-12,https://towardsdatascience.com/recommendation-systems-in-the-real-world-51e3948772f3,General
23,12,2019-08-12,https://towardsdatascience.com/the-secrets-to-a-successful-ai-strategy-d241adda5832,"Artificial Intelligence"
24,14,2019-08-12,https://www.analyticsindiamag.com/all-the-recent-advancements-in-medical-ai/,General
25,2,2019-08-12,https://towardsdatascience.com/understanding-random-forest-58381e0602d2,"Machine Learning"
26,6,2019-08-12,https://towardsdatascience.com/introduction-to-naive-bayes-classification-4cffabb1ae54,"Machine Learning"
27,3,2019-08-13,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,Resource
28,14,2019-08-13,https://www.thehindu.com/opinion/op-ed/rooting-ai-in-ethics/article29035692.ece,"Artificial Intelligence"
29,18,2019-08-13,https://medium.com/free-code-camp/mistakes-youve-probably-made-in-your-coding-task-for-a-job-interview-28e6db6a68ad,Career
30,21,2019-08-14,https://towardsdatascience.com/the-ultimate-guide-to-data-cleaning-3969843991d4,"Data Analytics"
31,13,2019-08-14,https://towardsdatascience.com/thinking-of-self-studying-machine-learning-remind-yourself-of-these-6-things-b55a5f2b6c7d,General
32,14,2019-08-14,https://theconversation.com/ai-is-in-danger-of-becoming-too-male-new-research-121229,"Artificial Intelligence"
33,19,2019-08-18,https://medium.com/better-marketing/how-i-made-11-000-from-writing-in-30-days-9c55d1e69723,General
34,2,2019-08-18,https://towardsdatascience.com/logistic-regression-ca2d070a3eee,"Machine Learning"
35,19,2019-08-20,https://onezero.medium.com/desperate-spammers-are-targeting-calendars-with-meeting-invites-b4e24f8e8a,General
36,14,2019-08-17,https://www.theguardian.com/technology/2019/aug/17/emotion-ai-artificial-intelligence-mood-realeyes-amazon-facebook-emotient,"Artificial Intelligence"
37,12,2019-08-18,https://towardsdatascience.com/machine-learning-nlp-text-classification-using-scikit-learn-python-and-nltk-c52b92a7c73a,"Machine Learning"
38,6,2019-08-20,https://medium.com/@ODSC/top-data-wrangling-skills-required-for-data-scientists-8a6b7dc604a7,"Data Analytics"
39,13,2019-08-20,https://towardsdatascience.com/the-secrets-of-successful-ai-startups-whos-making-money-in-ai-part-ii-207fea92a8d5,General
