myday_id,user_id,entry_date,entry
1,14,2020-01-06,NULL
2,15,2020-01-06,NULL
3,18,2020-01-06,NULL
4,21,2020-01-06,NULL
5,2,2020-01-06,NULL
6,11,2020-01-06,NULL
7,5,2020-01-06,NULL
8,6,2020-01-06,NULL
9,21,2020-01-07,NULL
10,18,2020-01-07,NULL
11,11,2020-01-07,NULL
12,19,2020-01-07,NULL
13,12,2020-01-07,NULL
14,14,2020-01-08,NULL
15,2,2020-01-08,NULL
16,5,2020-01-08,NULL
17,21,2020-01-08,NULL
18,12,2020-01-08,NULL
19,18,2020-01-08,NULL
20,2,2020-01-09,NULL
21,6,2020-01-09,NULL
22,15,2020-01-09,NULL
23,14,2020-01-09,NULL
24,5,2020-01-09,NULL
25,21,2020-01-09,NULL
26,18,2020-01-09,NULL
27,17,2020-01-10,NULL
28,5,2020-01-10,NULL
29,6,2020-01-10,NULL
30,14,2020-01-10,NULL
31,21,2020-01-10,NULL
32,15,2020-01-10,NULL
33,18,2020-01-11,NULL
34,6,2020-01-11,NULL
35,5,2020-01-11,NULL
36,14,2020-01-11,NULL
37,21,2020-01-11,NULL
38,15,2020-01-11,NULL
39,11,2020-01-11,NULL
40,12,2020-01-11,NULL
46,8,2020-01-12,"went K c das and outing"
47,9,2020-01-12,"watched Movies"
48,14,2020-01-12,"12/01
1. Data Engineering class
"
49,15,2020-01-12,"1.Data Engineering class
2. Made a video of basics of Amazon RDS which is gonna be uploaded soon by sir
3. Decision Trees"
50,6,2020-01-12,"12/01/20
1. Preparing for last semester exam 
2. Nothing else"
51,18,2020-01-12,"12/01
Studying for sems."
52,5,2020-01-12,"1. Data Engineering class 2. Did nothing else"
53,12,2020-01-12,"Last exam preparation."
54,11,2020-01-12,"Attended today's session
Nothing else"
55,1,2020-01-13,"Videos 
Java tutorial"
56,8,2020-01-13,"college 
"
57,18,2020-01-13,"13/1
Gave exam.
Slept.
Will read a book."
58,21,2020-01-13,"12/01/2020
1. Went for offline session
2. Submitted assignment"
59,5,2020-01-13,"Went to college. Updated Resume for college purpose."
60,15,2020-01-13,"Went to college
Gym
Updating Resume for college purpose"
61,6,2020-01-13,"13/01/20
1. Went to college
2. Gave the semester exam
3. Now doing decision tree assignments"
62,19,2020-01-13,"Didn't did anything fruitful , will start studying ."
63,14,2020-01-13,"13/01
1. college
2. updated resume
3. went through some points for GD"
64,12,2020-01-13,"Finally, exams are completed.
Party to banta hai."
65,16,2020-01-13,"Exams done..... finally......
Nothing productive....."
66,17,2020-01-13,"Internship Work
Studying
Some Web Development"
67,11,2020-01-13,"Went to college
Updated resume"
68,15,2020-01-14,"college.
gym.
work.
"
69,20,2020-01-14,"1. Went to bank
2. Revised bit of Operating System
3. Working on titanic dataset.
"
70,21,2020-01-14,"14/01

1. went to college
2. Doing assignment"
71,9,2020-01-14,College
